apt_detail_id,apt_id,road_address,jibun_address,zip_code,code_sale_nm,code_heat_nm,total_household_cnt,total_building_cnt,highest_floor,use_approval_date,total_parking_cnt,builder_name,developer_name,manage_type,hallway_type,subway_time,subway_line,subway_station,educationfacility,geometry,created_at,updated_at,is_deleted
2985,2985,서울특별시 강남구 언주로 118,서울특별시 강남구 도곡동 467-24 우성캐릭터199 아파트,06295,분양,지역난방,199,2,31,1998-11-07,342,(주)우성건설,(주)우성건설,위탁관리,계단식,5~10분이내,"3호선, 분당선",도곡,중학교(대치중학교) 고등학교(숙명여고),,,,f
2986,2986,서울특별시 강남구 남부순환로379길 14,서울특별시 강남구 도곡동 161 도곡삼성,06274,분양,지역난방,231,4,12,1994-12-30,0,삼성건설,삼성생명보험(주),위탁관리,혼합식,5분이내,3호선,매봉,초등학교(대도초등학교) 중학교(대치중학교) 고등학교(숙명여고),,,,f
2987,2987,서울특별시 강남구 언주로30길 10,서울특별시 강남구 도곡동 467-19 현대비전21,06295,분양,지역난방,232,1,27,1999-11-30,291,ㅁ,ㅁ,위탁관리,복도식,5분이내,3호선,도곡,중학교(대치중학교) 고등학교(숙명여고),,,,f
2988,2988,서울특별시 강남구 논현로 218,서울특별시 강남구 도곡동 869 역삼삼익,06272,분양,중앙난방,247,2,13,1983-06-11,0,삼익주택,삼익주택,자치관리,혼합식,10~15분이내,"2호선, 3호선",,초등학교() 중학교() 고등학교(),,,,f
2989,2989,서울특별시 강남구 도곡로28길 8,서울특별시 강남구 도곡동 543-7 도곡1차아이파크,06272,분양,지역난방,321,5,27,2007-03-27,540,현대산업개발,서린아파트,위탁관리,계단식,5분이내,"2호선, 신분당선, 서해선",,"초등학교(언주) 중학교(도곡,역삼) 고등학교(은광여)",,,,f
2990,2990,서울특별시 강남구 논현로 209,서울특별시 강남구 도곡동 967 도곡경남,06270,분양,개별난방,348,4,22,2005-06-02,351,경남기업,경남기업,위탁관리,혼합식,10~15분이내,3호선,양재,초등학교(언주초등학교) 중학교(은광여자중학교) 고등학교(은광여자고등학교),,,,f
2991,2991,서울특별시 강남구 남부순환로363길 49,서울특별시 강남구 도곡동 934-10 도곡우성아파트,06264,분양,지역난방,390,2,15,1986-10-31,0,우성건설,을지조합,자치관리,혼합식,5~10분이내,"3호선, 신분당선",,초등학교(언주초등학교) 중학교(은성중학교) 고등학교(은광여고),,,,f
2992,2992,서울특별시 강남구 언주로30길 21,서울특별시 강남구 도곡동 467-7 아카데미스위트,06292,분양,지역난방,414,1,51,2004-11-15,805,라성건설(주),라성건설(주),위탁관리,계단식,5분이내,"3호선, 분당선",,중학교(대치중학교) 고등학교(숙명여고),,,,f
2993,2993,서울특별시 강남구 언주로 117,서울특별시 강남구 도곡동 465 개포4차우성,06299,분양,지역난방,459,8,9,1985-12-26,0,(주)우성건설,(주)우성건설,위탁관리,혼합식,5~10분이내,3호선,매봉,중학교(대치중학교) 고등학교(숙명여고),,,,f
2994,2994,서울특별시 강남구 언주로30길 13,서울특별시 강남구 도곡동 467-6 도곡대림아크로빌,06292,분양,중앙난방,490,2,46,1999-11-26,1338,대림산업,대림산업,위탁관리,계단식,5~10분이내,"3호선, 분당선",,중학교(대치중학교) 고등학교(숙명여고),,,,f
